time,conc,BC637,Abs637,scat450,scat525,scat635,Angstrom,SSA637,total_conc_smps,total_volume,mean_diameter
2017-07-01 00:00:00, NaN, NaN, NaN, 150.079, 117.731, 117.620, 0.681, 0.816, 27177.986, 22.217, 61.313
2017-07-01 00:30:00, NaN, NaN, NaN, 120.174, 94.895, 96.586, 0.621, 0.808, 20539.435, 17.887, 61.172
2017-07-01 01:00:00, NaN, NaN, NaN, 110.712, 86.576, 85.410, 0.727, 0.706, 18911.065, 17.829, 63.268
2017-07-01 01:30:00, NaN, NaN, NaN, 109.716, 87.096, 85.125, 0.713, 0.769, 18110.191, 17.217, 67.330
2017-07-01 02:00:00, NaN, NaN, NaN, 106.366, 85.841, 84.471, 0.646, 0.779, 15610.631, 16.601, 70.617
2017-07-01 02:30:00, NaN, NaN, NaN, 111.671, 90.130, 91.377, 0.562, 0.786, 15578.575, 17.049, 70.740
2017-07-01 03:00:00, NaN, NaN, NaN, 109.273, 90.026, 89.194, 0.565, 0.807, 16536.345, 17.760, 69.132
2017-07-01 03:30:00, NaN, NaN, NaN, 123.049, 102.720, 103.143, 0.490, 0.814, 19486.814, 19.722, 66.375
2017-07-01 04:00:00, NaN, NaN, NaN, 107.756, 88.775, 90.294, 0.493, 0.761, 20367.535, 16.818, 63.878
2017-07-01 04:30:00, NaN, NaN, NaN, 92.243, 74.512, 74.008, 0.617, 0.775, 14395.468, 15.207, 71.830
2017-07-01 05:00:00, NaN, NaN, NaN, 89.552, 71.488, 69.705, 0.707, 0.806, 13473.898, 14.516, 75.013
2017-07-01 05:30:00, NaN, NaN, NaN, 89.237, 70.583, 68.042, 0.765, 0.799, 13338.754, 15.451, 76.223
2017-07-01 06:00:00, NaN, NaN, NaN, 110.852, 88.899, 88.126, 0.654, 0.776, 15246.043, 18.532, 75.862
2017-07-01 06:30:00, NaN, NaN, NaN, 115.520, 92.538, 89.883, 0.707, 0.828, 13169.848, 18.451, 84.205
2017-07-01 07:00:00, NaN, NaN, NaN, 123.027, 97.493, 95.021, 0.725, 0.821, 13449.699, 19.904, 85.218
2017-07-01 07:30:00, NaN, NaN, NaN, 129.737, 101.862, 98.083, 0.788, 0.850, 13378.444, 20.774, 87.960
2017-07-01 08:00:00, NaN, NaN, NaN, 142.771, 112.223, 106.982, 0.814, 0.834, 14747.670, 22.270, 84.775
2017-07-01 08:30:00, NaN, NaN, NaN, 154.430, 123.384, 121.696, 0.673, 0.821, 17474.554, 23.541, 74.723
2017-07-01 09:00:00, NaN, NaN, NaN, 160.332, 128.819, 129.045, 0.606, 0.848, 17350.221, 23.909, 74.350
2017-07-01 09:30:00, NaN, NaN, NaN, 160.868, 128.684, 128.022, 0.639, 0.860, 15699.296, 24.101, 78.810
2017-07-01 10:00:00, NaN, NaN, NaN, 162.390, 129.922, 128.976, 0.645, 0.867, 13506.955, 22.901, 89.315
2017-07-01 10:30:00, NaN, NaN, NaN, 157.733, 127.231, 127.785, 0.587, 0.872, 13855.677, 21.983, 83.533
2017-07-01 11:00:00, NaN, NaN, NaN, 185.213, 148.479, 147.485, 0.639, 0.860, 15144.978, 27.456, 91.123
2017-07-01 11:30:00, NaN, NaN, NaN, 233.725, 193.990, 200.611, 0.419, 0.905, 11885.440, 23.618, 93.592
2017-07-01 12:00:00, NaN, NaN, NaN, 178.122, 151.086, 160.700, 0.289, 0.928, 9683.682, 17.654, 80.862
2017-07-01 12:30:00, NaN, NaN, NaN, 131.720, 107.935, 114.965, 0.363, 0.924, 6693.980, 12.802, 85.445
2017-07-01 13:00:00, NaN, NaN, NaN, 98.261, 80.437, 79.478, 0.592, 0.933, 5988.076, 11.125, 85.548
2017-07-01 13:30:00, NaN, NaN, NaN, 96.386, 77.721, 76.158, 0.660, 0.936, 7215.878, 12.096, 83.080
2017-07-01 14:00:00, NaN, NaN, NaN, 98.503, 79.678, 77.581, 0.672, 0.944, 6883.818, 11.473, 81.963
2017-07-01 14:30:00, NaN, NaN, NaN, 92.048, 74.283, 72.350, 0.678, 0.959, 6594.556, 10.479, 79.497
2017-07-01 15:00:00, NaN, NaN, NaN, 85.243, 68.179, 65.236, 0.756, 0.801, 6451.530, 9.534, 76.803
2017-07-01 15:30:00, NaN, NaN, NaN, 82.356, 64.379, 63.118, 0.747, 0.857, 6204.528, 8.951, 75.960
2017-07-01 16:00:00, NaN, NaN, NaN, 74.579, 57.719, 53.456, 0.945, 0.763, 6600.438, 8.793, 73.556
2017-07-01 16:30:00, NaN, NaN, NaN, 70.762, 54.439, 51.128, 0.920, 0.865, 6241.347, 8.413, 73.247
2017-07-01 17:00:00, NaN, NaN, NaN, 66.370, 50.828, 45.906, 1.060, 0.685, 5982.625, 7.814, 69.663
2017-07-01 17:30:00, NaN, NaN, NaN, 58.793, 44.698, 39.349, 1.147, 0.633, 5824.255, 7.281, 69.377
2017-07-01 18:00:00, NaN, NaN, NaN, 45.975, 33.929, 27.596, 1.470, 0.609, 5500.940, 5.976, 61.215
2017-07-01 18:30:00, NaN, NaN, NaN, 42.082, 30.817, 24.470, 1.561, 0.366, 6052.321, 5.862, 56.852
2017-07-01 19:00:00, NaN, NaN, NaN, 41.660, 30.566, 24.122, 1.574, 0.483, 7963.311, 6.730, 56.938
2017-07-01 19:30:00, NaN, NaN, NaN, 44.316, 32.626, 26.132, 1.520, 0.409, 7857.497, 6.547, 59.858
2017-07-01 20:00:00, NaN, NaN, NaN, 46.482, 34.918, 29.020, 1.367, 0.487, 10235.893, 7.297, 54.982
2017-07-01 20:30:00, NaN, NaN, NaN, 44.324, 33.653, 29.422, 1.172, 0.476, 9694.786, 6.503, 50.585
2017-07-01 21:00:00, NaN, NaN, NaN, 41.679, 31.659, 27.218, 1.220, 0.533, 8254.372, 6.640, 49.990
2017-07-01 21:30:00, NaN, NaN, NaN, 47.938, 37.407, 33.170, 1.084, 0.568, 8128.968, 7.801, 53.342
2017-07-01 22:00:00, NaN, NaN, NaN, 76.788, 60.902, 57.404, 0.838, 0.717, 9483.419, 9.586, 56.978
2017-07-01 22:30:00, NaN, NaN, NaN, 97.632, 77.997, 73.679, 0.805, 0.895, 9226.241, 10.054, 57.138
2017-07-01 23:00:00, NaN, NaN, NaN, 101.031, 82.103, 80.384, 0.643, 0.915, 9369.254, 10.172, 57.637
2017-07-01 23:30:00, NaN, NaN, NaN, 110.072, 89.031, 86.711, 0.672, 0.922, 10403.088, 10.696, 59.358
2017-07-02 00:00:00, NaN, 0.804, 5.308, 98.089, 79.041, 75.639, 0.736, 0.933, 7680.245, 9.334, 61.350
2017-07-02 00:30:00, NaN, 0.793, 5.237, 121.083, 98.687, 96.176, 0.650, 0.947, 8977.404, 10.866, 62.918
2017-07-02 01:00:00, NaN, 0.915, 6.038, 135.314, 111.929, 112.125, 0.523, 0.947, 10332.842, 11.125, 63.145
2017-07-02 01:30:00, NaN, 0.914, 6.035, 118.928, 97.096, 95.038, 0.631, 0.939, 11686.644, 11.429, 61.438
2017-07-02 02:00:00, NaN, 0.945, 6.234, 116.608, 95.022, 93.046, 0.634, 0.936, 12397.623, 11.299, 61.993
2017-07-02 02:30:00, NaN, 0.789, 5.210, 99.479, 79.434, 76.230, 0.752, 0.935, 12279.749, 11.085, 64.318
2017-07-02 03:00:00, NaN, 0.782, 5.159, 82.552, 64.475, 58.936, 0.972, 0.919, 11848.348, 10.547, 63.260
2017-07-02 03:30:00, NaN, 0.650, 4.292, 72.224, 54.711, 47.895, 1.174, 0.917, NaN, NaN, NaN
2017-07-02 04:00:00, NaN, 0.516, 3.407, 69.676, 52.529, 45.641, 1.210, 0.930, NaN, NaN, NaN
2017-07-02 04:30:00, NaN, 0.449, 2.961, 67.906, 51.297, 44.650, 1.199, 0.938, NaN, NaN, NaN
2017-07-02 05:00:00, NaN, 0.501, 3.307, 66.345, 50.478, 44.141, 1.165, 0.932, NaN, NaN, NaN
2017-07-02 05:30:00, NaN, 0.537, 3.545, 59.873, 45.911, 40.481, 1.120, 0.922, NaN, NaN, NaN
2017-07-02 06:00:00, NaN, 0.475, 3.138, 44.641, 34.263, 30.727, 1.056, 0.909, NaN, NaN, NaN
2017-07-02 06:30:00, NaN, 0.336, 2.219, 40.231, 30.490, 26.358, 1.209, 0.926, NaN, NaN, NaN
2017-07-02 07:00:00, NaN, 0.635, 4.192, 49.774, 38.727, 33.311, 1.170, 0.891, NaN, NaN, NaN
2017-07-02 07:30:00, NaN, 0.428, 2.826, 57.653, 43.638, 40.188, 1.024, 0.936, NaN, NaN, NaN
2017-07-02 08:00:00, NaN, 0.631, 4.166, 58.169, 44.523, 40.332, 1.042, 0.906, NaN, NaN, NaN
2017-07-02 08:30:00, NaN, 0.301, 1.986, 60.568, 46.889, 41.353, 1.090, 0.956, NaN, NaN, NaN
2017-07-02 09:00:00, NaN, 0.306, 2.017, 60.123, 47.873, 43.680, 0.905, 0.945, NaN, NaN, NaN
2017-07-02 09:30:00, NaN, 0.427, 2.816, 52.257, 41.116, 37.509, 0.952, 0.899, NaN, NaN, NaN
2017-07-02 10:00:00, NaN, 0.022, 0.145, 39.102, 31.330, 27.905, 0.965, 0.829, NaN, NaN, NaN
2017-07-02 10:30:00, NaN, 0.268, 1.767, 34.222, 26.861, 22.502, 1.207, 0.739, NaN, NaN, NaN
2017-07-02 11:00:00, NaN, 0.183, 1.208, 27.349, 22.330, 19.443, 0.996, 0.873, NaN, NaN, NaN
2017-07-02 11:30:00, NaN, 0.085, 0.562, 24.115, 18.673, 14.516, 1.468, 0.877, NaN, NaN, NaN
2017-07-02 12:00:00, NaN, 0.240, 1.581, 22.242, 18.270, 14.082, 1.328, 0.761, NaN, NaN, NaN
2017-07-02 12:30:00, NaN, 0.199, 1.315, 22.663, 18.408, 15.729, 1.053, 0.892, NaN, NaN, NaN
2017-07-02 13:00:00, NaN, 0.147, 0.969, 24.725, 20.621, 16.971, 1.089, 0.928, NaN, NaN, NaN
2017-07-02 13:30:00, NaN, 0.037, 0.245, 28.028, 22.208, 19.494, 1.044, 0.970, NaN, NaN, NaN
2017-07-02 14:00:00, NaN, 0.054, 0.354, 23.923, 19.427, 17.054, 0.979, 0.929, NaN, NaN, NaN
2017-07-02 14:30:00, NaN, 0.009, 0.060, 19.161, 15.490, 12.119, 1.329, 0.956, NaN, NaN, NaN
2017-07-02 15:00:00, NaN, 0.019, 0.122, 14.548, 12.370, 8.740, 1.543, 0.909, NaN, NaN, NaN
2017-07-02 15:30:00, NaN, -0.020, -0.134, 12.454, 9.975, 6.542, 1.883, 0.915, NaN, NaN, NaN
2017-07-02 16:00:00, NaN, 0.011, 0.073, 18.637, 15.359, 12.286, 1.286, 0.924, NaN, NaN, NaN
2017-07-02 16:30:00, NaN, 0.026, 0.168, 26.224, 20.656, 18.189, 1.054, 0.939, NaN, NaN, NaN
