column_name,dtype,description,min_value,max_value,mean_value,null_count,sample_values,llm_provider
time,object,"Represents the timestamp of the environmental measurement, recorded at regular intervals.",,,,0,2017-07-01 00:00:00; 2017-07-01 00:30:00; 2017-07-01 01:00:00,gemini/gemini-2.5-flash
conc,object,"Indicates a measured concentration, potentially of atmospheric particles or a specific pollutant, without explicit units provided.",,,,0, NaN;  5824.995;  9061.243,gemini/gemini-2.5-flash
BC637,object,Represents the absorption coefficient of Black Carbon (BC) at a wavelength of 637 nm.,,,,0, NaN;  0.804;  0.793,gemini/gemini-2.5-flash
Abs637,object,Represents the total aerosol absorption coefficient at a wavelength of 637 nm.,,,,0, NaN;  5.308;  5.237,gemini/gemini-2.5-flash
scat450,object,Measures the aerosol scattering coefficient at a wavelength of 450 nm.,,,,0, 150.079;  120.174;  110.712,gemini/gemini-2.5-flash
scat525,object,Measures the aerosol scattering coefficient at a wavelength of 525 nm.,,,,0, 117.731;  94.895;  86.576,gemini/gemini-2.5-flash
scat635,object,Measures the aerosol scattering coefficient at a wavelength of 635 nm.,,,,0, 117.620;  96.586;  85.410,gemini/gemini-2.5-flash
Angstrom,object,"Represents the Ångström exponent, indicating the wavelength dependence of aerosol optical properties.",,,,0, 0.681;  0.621;  0.727,gemini/gemini-2.5-flash
SSA637,object,"Represents the Single Scattering Albedo (SSA) at a wavelength of 637 nm, indicating the fraction of total extinction due to scattering.",,,,0, 0.816;  0.808;  0.706,gemini/gemini-2.5-flash
total_conc_smps,object,Denotes the total particle concentration measured by a Scanning Mobility Particle Sizer (SMPS) instrument.,,,,0, 27177.986;  20539.435;  18911.065,gemini/gemini-2.5-flash
total_volume,object,"The total measured volume of a substance or sample, represented as a numerical value.",,,,0, 22.217;  17.887;  17.829,gemini/gemini-2.5-flash
mean_diameter,object,"The calculated average diameter of particles or objects within a sample, represented as a numerical value.",,,,0, 61.313;  61.172;  63.268,gemini/gemini-2.5-flash
