column_name,dtype,description,min_value,max_value,mean_value,null_count,sample_values,llm_provider
time,object,sample values: 2017-07-01 00:00:00; 2017-07-01 00:30:00; 2017-07-01 01:00:00,,,,0,2017-07-01 00:00:00; 2017-07-01 00:30:00; 2017-07-01 01:00:00,gemini/gemini-2.5-flash
conc,object,sample values: NaN;  5824.995;  9061.243,,,,0, NaN;  5824.995;  9061.243,gemini/gemini-2.5-flash
BC637,object,sample values: NaN;  0.804;  0.793,,,,0, NaN;  0.804;  0.793,gemini/gemini-2.5-flash
Abs637,object,sample values: NaN;  5.308;  5.237,,,,0, NaN;  5.308;  5.237,gemini/gemini-2.5-flash
scat450,object,sample values: 150.079;  120.174;  110.712,,,,0, 150.079;  120.174;  110.712,gemini/gemini-2.5-flash
scat525,object,sample values: 117.731;  94.895;  86.576,,,,0, 117.731;  94.895;  86.576,gemini/gemini-2.5-flash
scat635,object,sample values: 117.620;  96.586;  85.410,,,,0, 117.620;  96.586;  85.410,gemini/gemini-2.5-flash
Angstrom,object,sample values: 0.681;  0.621;  0.727,,,,0, 0.681;  0.621;  0.727,gemini/gemini-2.5-flash
SSA637,object,sample values: 0.816;  0.808;  0.706,,,,0, 0.816;  0.808;  0.706,gemini/gemini-2.5-flash
total_conc_smps,object,sample values: 27177.986;  20539.435;  18911.065,,,,0, 27177.986;  20539.435;  18911.065,gemini/gemini-2.5-flash
total_volume,object,sample values: 22.217;  17.887;  17.829,,,,0, 22.217;  17.887;  17.829,gemini/gemini-2.5-flash
mean_diameter,object,sample values: 61.313;  61.172;  63.268,,,,0, 61.313;  61.172;  63.268,gemini/gemini-2.5-flash
