column_name,dtype,description,min_value,max_value,mean_value,null_count,sample_values,llm_provider
time,object,This column represents the date of the observations in the format YYYY-MM-DD.,,,,0,2002-01-01; 2002-01-02; 2002-01-03,openai/gpt-4o-mini
NEE_VUT_REF,float64,"This column contains the Net Ecosystem Exchange (NEE) measured using the VUT reference method, with values in grams of carbon per square meter (g C/m²) ranging from -9999.0 to 7.3209.",-9999.0,7.3209,-999.4937279925587,0,0.444362; 1.31567; 5.8998,openai/gpt-4o-mini
NEE_CUT_REF,float64,"This column represents the Net Ecosystem Exchange (NEE) measured using the CUT reference method, with values in grams of carbon per square meter (g C/m²) ranging from -9999.0 to 7.12463.",-9999.0,7.12463,-999.4653882104765,0,0.163963; 1.0598; 4.80004,openai/gpt-4o-mini
NEE_VUT_REF_QC,float64,"This column indicates the quality control flag for the NEE_VUT_REF measurements, with values ranging from -9999.0 to 1.0.",-9999.0,1.0,-998.723747305586,0,0.458333; 0.5; 1.0,openai/gpt-4o-mini
NEE_CUT_REF_QC,float64,"This column indicates the quality control flag for the NEE_CUT_REF measurements, with values ranging from -9999.0 to 1.0.",-9999.0,1.0,-998.7309237446057,0,0.458333; 0.5; 1.0,openai/gpt-4o-mini
stl1_mean,float64,"This column provides the mean temperature in degrees Celsius (°C) for the STL1 sensor, with values ranging from 298.59366 to 304.10117.",298.59366,304.10117,301.2206111144578,0,302.70505; 302.2808; 301.30972,openai/gpt-4o-mini
DetailedQA,float64,"This column contains a detailed quality assurance metric, with values ranging from -9999.0 to 39189.0.",-9999.0,39189.0,6393.434282584885,0,4110.0; 37145.0; 2058.0,openai/gpt-4o-mini
EVI,float64,"This column represents the Enhanced Vegetation Index (EVI), a dimensionless index used to assess vegetation health, with values ranging from -9999.0 to 0.6283.",-9999.0,0.6283000000000001,-32.40518822562979,0,0.2615; 0.5083; 0.3141,openai/gpt-4o-mini
NDVI,float64,"This column indicates the Normalized Difference Vegetation Index (NDVI), a dimensionless index used to evaluate vegetation cover, with values ranging from -9999.0 to 0.8607.",-9999.0,0.8607,-32.201266155531215,0,0.7152000000000001; 0.4155; 0.4631,openai/gpt-4o-mini
SummaryQA,float64,"This column provides a summary quality assurance metric, with values ranging from -9999.0 to 3.0.",-9999.0,3.0,-31.45235487404162,0,3.0; 1.0; 0.0,openai/gpt-4o-mini
sur_refl_b02,float64,This column represents surface reflectance in the blue band (B02) with values ranging from -9999.0 to 0.5005 and a mean of -32.50.,-9999.0,0.5005000000000001,-32.50149832968236,0,0.4396; 0.3566; 0.4023,openai/gpt-4o-mini
sur_refl_b03,float64,"This column indicates surface reflectance in the green band (B03), with values between -9999.0 and 0.3453 and a mean of -32.78.",-9999.0,0.3453,-32.776117880613356,0,0.2357; 0.0472; 0.1821,openai/gpt-4o-mini
