column_name,cf_long_name,cf_standard_name,units,generated_description
time,,,days since 2002-01-01 00:00:00,Represents the timestamp for the recorded environmental data.
NEE_VUT_REF,"Net Ecosystem Exchange (VUT, daily)",surface_upward_mole_flux_of_carbon_dioxide,gC m-2 d-1,"Measures the Net Ecosystem Exchange of CO2, gap-filled using the VPD-uncertainty-threshold method, likely in µmol CO2 m⁻² s⁻¹."
NEE_CUT_REF,"Net Ecosystem Exchange (CUT, daily)",surface_upward_mole_flux_of_carbon_dioxide,gC m-2 d-1,"Measures the Net Ecosystem Exchange of CO2, gap-filled using the carbon-uptake-threshold method, likely in µmol CO2 m⁻² s⁻¹."
NEE_VUT_REF_QC,Quality flag for NEE_VUT_REF (daily fraction),,1,"Provides a quality control flag or confidence level for the NEE_VUT_REF data, ranging from 0 (low quality) to 1 (high quality)."
NEE_CUT_REF_QC,Quality flag for NEE_CUT_REF (daily fraction),,1,"Provides a quality control flag or confidence level for the NEE_CUT_REF data, ranging from 0 (low quality) to 1 (high quality)."
stl1_mean,Soil temperature level 1 (mean),surface_temperature,K,"Represents the mean soil temperature at the first measurement depth, measured in Kelvin."
DetailedQA,MODIS VI Detailed Quality Assessment flags,,1,"Contains detailed quality assurance information, likely represented by specific numerical codes or bitmasks."
EVI,Enhanced Vegetation Index,enhanced_vegetation_index,1,"Measures the Enhanced Vegetation Index, an optimized vegetation index typically ranging from -1 to 1."
NDVI,Normalized Difference Vegetation Index,normalized_difference_vegetation_index,1,"Measures the Normalized Difference Vegetation Index, indicating vegetation greenness and health, typically ranging from -1 to 1."
SummaryQA,MODIS VI Summary Quality flags,,1,"Provides a summarized quality assurance flag, likely indicating overall data quality with fewer categories than DetailedQA."
sur_refl_b02,MODIS NIR surface reflectance (841–876 nm),,1,"Surface Reflectance for spectral band 2, indicating the fraction of incoming solar radiation reflected by the Earth's surface in this band."
sur_refl_b03,MODIS Blue surface reflectance (459–479 nm),,1,"Surface Reflectance for spectral band 3, representing the fraction of incoming solar radiation reflected by the Earth's surface in this specific band."
sur_refl_b07,MODIS SWIR2 surface reflectance (2105–2155 nm),,1,"Surface Reflectance for spectral band 7, indicating the fraction of incoming solar radiation reflected by the Earth's surface in this particular band."
Clear_sky_days,Number of clear-sky daylight hours,,count,The total number of clear sky days observed within the measurement period.
Clear_sky_nights,Number of clear-sky nighttime hours,,count,The total number of clear sky nights observed within the measurement period.
Emis_31,"Surface emissivity (MODIS band 31, 10.78–11.28 μm)",,1,"Emissivity for channel 31, representing the efficiency with which the surface radiates thermal energy."
Emis_32,"Surface emissivity (MODIS band 32, 11.77–12.27 μm)",,1,"Emissivity for channel 32, representing the efficiency with which the surface radiates thermal energy in this specific channel."
LST_Day_1km,Daytime Land Surface Temperature,surface_temperature,K,"Daytime Land Surface Temperature at a 1km spatial resolution, likely measured in Kelvin."
LST_Night_1km,Nighttime Land Surface Temperature,surface_temperature,K,"Nighttime Land Surface Temperature at a 1km spatial resolution, likely measured in Kelvin."
QC_Day,MODIS LST Day QA,,1,"Quality Control flag or score for daytime observations, indicating the reliability or processing status of the data."
QC_Night,MODIS LST Night QA,,1,"This column likely represents a Quality Control flag or score specifically for nighttime measurements, with -9999.0 indicating missing or invalid data."
Fpar,Fraction of absorbed PAR by vegetation,fraction_of_surface_downwelling_photosynthetic_radiative_flux_absorbed_by_vegetation,1,"Represents the Fraction of Photosynthetically Active Radiation (FPAR) absorbed by the vegetation canopy, with -9999.0 indicating missing or invalid data."
FparExtra_QC,FPAR extra quality flag,,1,"This is an extra Quality Control flag or indicator related to the FPAR measurement, where -9999.0 denotes missing or inapplicable data."
FparLai_QC,FPAR/LAI main quality flag,,1,"Represents a Quality Control flag specifically for the combined FPAR and LAI measurements, with -9999.0 indicating missing or invalid data."
FparStdDev,FPAR standard deviation (MODIS),,1,"This column stores the standard deviation of the FPAR (Fraction of Photosynthetically Active Radiation) measurements, with -9999.0 indicating missing or invalid data."
Lai,Leaf Area Index,leaf_area_index,m2 m-2,"Represents the Leaf Area Index (LAI), which is the total one-sided leaf area per unit ground area, with -999.9 indicating missing or invalid data."
alnid_mean,Near-IR albedo for diffuse radiation (mean),,1,"This column represents the mean diffuse albedo in the Near-Infrared (NIR) spectral band, a unitless value indicating surface reflectivity."
aluvd_mean,UV-visible albedo for diffuse radiation (mean),,1,"This column represents the mean diffuse albedo in the Ultraviolet (UV) spectral band, a unitless value indicating surface reflectivity."
e_mean,Evaporation (liquid water equivalent thickness) (mean),lwe_thickness_of_water_evaporation_amount,m,"This column likely represents the mean surface emissivity, a unitless value indicating the efficiency of a surface in radiating thermal energy."
d2m_mean,2 m dewpoint temperature (mean),,K,"This column represents the mean dew point temperature at 2 meters above the surface, likely measured in Kelvin."
ro_mean,Surface runoff (mean),,m,"Represents the mean runoff rate, with values typically ranging from very small positive numbers (e.g., 6.37e-07) up to 0.0026, likely in units such as m/s or m/day."
t2m_mean,2 m air temperature (mean),air_temperature,K,"Represents the mean air temperature at 2 meters above the surface, measured in Kelvin (K)."
adj_sfc_sw_diff_clr_daily,Adjusted Surface Shortwave Diffuse Flux (clear-sky),Adjusted Surface SW Direct and Diffuse Fluxes Surface Shortwave Diffuse Flux - Clear-sky,W m-2,"Represents the daily adjusted diffuse shortwave radiation at the surface under clear sky conditions, likely measured in megajoules per square meter per day (MJ/m²/day)."
adj_sfc_sw_diff_all_daily,Adjusted Surface Shortwave Diffuse Flux (all-sky),Adjusted Surface SW Direct and Diffuse Fluxes Surface Shortwave Diffuse Flux - All-sky,W m-2,"Represents the daily adjusted diffuse shortwave radiation at the surface under all-sky conditions, likely measured in megajoules per square meter per day (MJ/m²/day)."
adj_sfc_sw_diff_pri_daily,Adjusted Surface Shortwave Diffuse Flux (pristine-sky),Adjusted Surface SW Direct and Diffuse Fluxes Surface Shortwave Diffuse Flux - Pristine,W m-2,"Represents the daily adjusted diffuse shortwave radiation at the surface from a primary or specific component, likely measured in megajoules per square meter per day (MJ/m²/day)."
adj_sfc_sw_diff_naer_daily,Adjusted Surface Shortwave Diffuse Flux (no-aerosol),Adjusted Surface SW Direct and Diffuse Fluxes Surface Shortwave Diffuse Flux - NoAero,W m-2,"Represents the daily adjusted diffuse shortwave radiation at the surface, potentially excluding or related to non-aerosol scattering, likely measured in megajoules per square meter per day (MJ/m²/day)."
adj_sfc_par_diff_clr_daily,Adjusted PAR Diffuse Flux (clear-sky),Adjusted PAR Fluxes Surface PAR Diffuse Flux - Clear-sky,W m-2,"Represents the daily adjusted diffuse photosynthetically active radiation (PAR) at the surface under clear sky conditions, likely measured in moles of photons per square meter per day (mol photons/m²/day)."
adj_sfc_par_diff_all_daily,Adjusted PAR Diffuse Flux (all-sky),Adjusted PAR Fluxes Surface PAR Diffuse Flux - All-sky,W m-2,"Represents the daily adjusted diffuse photosynthetically active radiation (PAR) at the surface under all-sky conditions, likely measured in moles of photons per square meter per day (mol photons/m²/day)."
adj_sfc_par_diff_pri_daily,Adjusted PAR Diffuse Flux (pristine-sky),Adjusted PAR Fluxes Surface PAR Diffuse Flux - Pristine,W m-2,"Represents the daily adjusted diffuse photosynthetically active radiation (PAR) at the surface from a primary or specific component, likely measured in moles of photons per square meter per day (mol photons/m²/day)."
alnid_maximum,Near-IR albedo for diffuse radiation (maximum),,1,"Represents the maximum surface albedo or a related reflectivity parameter, a dimensionless value indicating the fraction of incident radiation reflected by the surface."
aluvd_maximum,UV-visible albedo for diffuse radiation (maximum),,1,Represents the maximum observed diffuse albedo in the ultraviolet-visible spectrum (dimensionless fraction).
e_maximum,Evaporation (liquid water equivalent thickness) (maximum),lwe_thickness_of_water_evaporation_amount,m,"Represents the maximum observed value for an environmental variable, possibly emissivity or an energy flux component (dimensionless or in unspecified units)."
