time,NEE_VUT_REF,NEE_CUT_REF,NEE_VUT_REF_QC,NEE_CUT_REF_QC,stl1_mean,DetailedQA,EVI,NDVI,SummaryQA,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_sky_days,Clear_sky_nights,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,QC_Day,QC_Night,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,alnid_mean,aluvd_mean,e_mean,d2m_mean,ro_mean,t2m_mean,adj_sfc_sw_diff_clr_daily,adj_sfc_sw_diff_all_daily,adj_sfc_sw_diff_pri_daily,adj_sfc_sw_diff_naer_daily,adj_sfc_par_diff_clr_daily,adj_sfc_par_diff_all_daily,adj_sfc_par_diff_pri_daily,alnid_maximum,aluvd_maximum,e_maximum,d2m_maximum,ro_maximum,t2m_maximum,stl1_maximum,prec,prmsl,alnid_median,aluvd_median,e_median,d2m_median,ro_median,t2m_median,stl1_median,alnid_minimum,aluvd_minimum,e_minimum,d2m_minimum,ro_minimum,t2m_minimum,stl1_minimum,alnid_std,aluvd_std,e_std,d2m_std,ro_std,t2m_std,stl1_std,alnid_variance,aluvd_variance,e_variance,d2m_variance,ro_variance,t2m_variance,stl1_variance,VPD_magnus_mean,VPD_magnus_minimum,VPD_magnus_maximum,longitude,latitude
2002-01-01,0.444362,0.163963,0.458333,0.458333,302.70505,4110.0,0.2615,0.7152000000000001,3.0,0.43960000000000005,0.23570000000000002,0.2005,-9999.0,-9999.0,0.492,0.494,-9999.0,297.82,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17496248,0.04743254,0.15829891,296.69174,2.093846e-06,300.85727,68.783325,124.614586,23.166666,102.88958,41.071873,63.672916,14.506251,0.17498672,0.04744433,0.053864263,297.57324,6.556511e-06,303.95285,305.0218,0.5,-9e+33,0.17496324,0.047430027,0.120586716,296.6578,1.6391277e-06,300.45486,302.40796,0.17493036,0.047418907,0.28541157,296.05392,1.0915101e-06,298.18155,301.20294,1.871837e-05,6.9562193e-06,-0.08166105,0.40120503,1.3993368e-06,2.0110343,1.3162317,3.503774e-10,4.8388987e-11,-6.6685284e-06,0.16096547,1.9581437e-12,4.0442586,1.7324661,8.133474,3.8067226,13.8216305,-54.98,-2.91
2002-01-02,1.31567,1.0598,0.5,0.5,302.2808,37145.0,0.5083,0.7152000000000001,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17490202,0.047411356,0.1617301,296.57938,3.687882e-06,299.98038,70.96875,172.70937,23.273956,180.63646,42.478123,81.96979,14.567708,0.17492568,0.04742208,0.06612105,297.21753,2.7321279e-05,301.8554,303.9108,0.375,-9e+33,0.1749022,0.047410958,0.110383436,296.53693,1.6391277e-06,300.0285,302.24548,0.17486933,0.04739666,0.31022996,295.81796,1.0915101e-06,297.6806,300.9314,1.8312623e-05,8.3495615e-06,-0.0837867,0.33925006,5.59324e-06,1.4128546,1.03096,3.3535216e-10,6.971518e-11,-7.0202113e-06,0.11509061,3.1284333e-11,1.996158,1.0628784,6.469328,3.268488,9.421701,-54.98,-2.91
2002-01-03,5.8998,4.80004,1.0,1.0,301.30972,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.1748419,0.04739268,0.117233746,296.70947,1.5094566e-05,298.62357,60.73021,115.961464,23.289583,120.295815,36.677082,56.596874,14.584376,0.17486933,0.047399834,0.060329564,297.18497,7.3766336e-05,300.61932,302.77042,45.5,-9e+33,0.17484115,0.04739348,0.10967754,296.64096,1.0655262e-05,298.4755,301.26367,0.17481299,0.047377586,0.20234138,296.19922,2.1848828e-06,297.34982,300.65442,1.8168354e-05,6.7578717e-06,-0.0345879,0.30770296,1.6045702e-05,1.0019482,0.5152601,3.300891e-10,4.566883e-11,-1.196323e-06,0.094681114,2.5746458e-10,1.0039002,0.26549295,3.5240192,2.0213013,6.7466297,-54.98,-2.91
2002-01-04,2.16893,2.06677,1.0,1.0,300.54868,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.1747809,0.047371224,0.098222904,296.8646,6.4199944e-06,298.87653,54.68854,125.86978,23.31146,121.94584,32.991665,62.760418,14.595834,0.17481299,0.04738394,0.045778636,297.87778,2.7867034e-05,301.34778,301.52094,28.25,-9e+33,0.17478012,0.04737123,0.083022244,296.76764,6.0098246e-06,298.25708,300.4931,0.17475194,0.04735534,0.20967299,296.08997,1.6391277e-06,297.1663,299.82117,1.8067722e-05,7.3969672e-06,-0.046937708,0.5439136,5.3239905e-06,1.4999343,0.49992687,3.2644254e-10,5.471512e-11,-2.2031486e-06,0.29584202,2.8344873e-11,2.2498028,0.24992688,3.7438583,1.8762894,7.0706635,-54.98,-2.91
2002-01-05,2.14902,1.12955,1.0,1.0,300.82938,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17471968,0.047352955,0.12811953,296.64948,2.2470796e-05,298.99933,51.77083,160.52396,23.441666,163.26564,31.486458,78.06875,14.684375,0.17474255,0.047361694,0.032463025,297.32562,0.0002502594,301.12503,302.76266,39.75,-9e+33,0.17472377,0.047352158,0.08793939,296.78162,2.7325004e-06,298.92816,300.4734,0.17468621,0.047345802,0.30578607,295.83075,1.0915101e-06,296.88715,299.56894,1.8100498e-05,5.5243527e-06,-0.095540844,0.49884644,5.6768124e-05,1.4233735,1.0999717,3.2762804e-10,3.0518473e-11,-9.1280535e-06,0.24884777,3.2226197e-09,2.0259922,1.2099377,4.362797,1.8156223,7.5909843,-54.98,-2.91
2002-01-06,3.63906,3.40283,1.0,1.0,300.69724,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17465961,0.04732926,0.12782073,296.58853,9.612413e-05,298.6433,57.023956,101.54792,23.487501,104.87186,34.518745,50.355206,14.710418,0.17468621,0.04734263,0.053286728,297.43143,0.00082072243,300.65277,302.20175,12.875,-9e+33,0.17465334,0.047326736,0.09619347,296.67584,9.834766e-06,298.6753,300.50974,0.17462987,0.04732038,0.3054492,295.79355,1.6391277e-06,297.05347,299.67572,1.7811697e-05,6.4860974e-06,-0.07672904,0.45036092,0.00018483574,1.0792423,0.83959854,3.1725655e-10,4.206946e-11,-5.887346e-06,0.20282495,3.416425e-08,1.164764,0.7049257,3.7732563,2.1728916,6.3731804,-54.98,-2.91
2002-01-07,2.39846,2.11492,1.0,1.0,300.43295,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17459892,0.047312576,0.14028874,296.32437,1.0836637e-05,298.8267,55.663544,150.01457,23.482292,153.69688,33.766666,73.25521,14.704166,0.17462987,0.04732991,0.069329634,296.94437,0.00011693314,300.96823,302.07565,13.875,-9e+33,0.174597,0.047314018,0.09046614,296.31372,3.8240105e-06,298.3493,300.27185,0.17457351,0.047298133,0.29779667,295.70056,1.0915101e-06,297.47125,299.26566,1.6654287e-05,8.797847e-06,-0.08236233,0.31449553,2.360683e-05,1.1850445,0.8982796,2.7736524e-10,7.740211e-11,-6.7835545e-06,0.09890745,5.5728244e-10,1.4043306,0.8069062,4.5863132,3.080473,7.930069,-54.98,-2.91
2002-01-08,1.16348,0.776915,1.0,1.0,299.94647,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17453809,0.04729244,0.1024863,296.2309,9.10693e-05,298.25214,58.720837,112.907295,23.505205,116.62812,35.440624,55.604168,14.710415,0.17455943,0.04730449,0.036602084,296.71304,0.00079340115,299.9769,300.8192,26.5,-9e+33,0.17454064,0.04729177,0.07952489,296.1568,6.0098246e-06,298.01044,299.93063,0.17450309,0.047285415,0.28931,295.8377,1.0915101e-06,297.2351,299.16046,1.6376467e-05,6.0164584e-06,-0.05994823,0.26247057,0.00019657628,0.860086,0.53901595,2.6818867e-10,3.619777e-11,-3.59379e-06,0.068890795,3.8642234e-08,0.739748,0.29053816,3.6397324,2.4244576,6.228901,-54.98,-2.91
2002-01-09,2.66747,2.47749,0.958333,0.958333,300.45074,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,-19.998,-19.998,-9999.0,-9999.0,2.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17447765,0.047271907,0.15990053,295.8615,1.1371449e-06,299.0934,89.98124,145.22813,23.199999,123.421875,54.087498,74.00208,14.551041,0.17450309,0.047285415,0.044639573,296.48868,1.6391277e-06,302.48157,303.18045,0.125,-9e+33,0.1744796,0.04727429,0.08018266,295.94757,1.0915101e-06,298.0109,299.7763,0.17445613,0.047256812,0.37329462,295.04843,1.0915101e-06,296.13095,298.51907,1.6203157e-05,8.470791e-06,-0.12320193,0.33809373,1.5135353e-07,2.3398414,1.6183363,2.6254232e-10,7.175429e-11,-1.5178715e-05,0.114307374,2.2907891e-14,5.474858,2.6190126,5.895643,1.786377,12.15848,-54.98,-2.91
2002-01-10,1.17277,0.605812,0.916667,0.958333,300.47543,37145.0,0.5083,0.41550000000000004,1.0,0.35660000000000003,0.0472,0.09920000000000001,-9999.0,-9999.0,0.492,0.494,299.04,295.0,65.0,2.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.9000000000001,0.17441916,0.047251914,0.13421516,296.11035,5.3724893e-06,299.4191,88.38125,148.06146,23.209375,139.55415,53.476044,73.92605,14.567707,0.17445613,0.047259994,0.048185058,296.956,2.5134534e-05,301.16135,301.8598,14.75,-9e+33,0.17441387,0.04725522,0.08418536,296.08124,1.6391277e-06,299.89178,300.34766,0.1743998,0.04724092,0.35226238,295.55756,1.0915101e-06,297.15482,298.94073,1.6724129e-05,6.015348e-06,-0.095345296,0.43061295,7.1011277e-06,1.4531347,0.9624807,2.7969646e-10,3.6184413e-11,-9.090725e-06,0.1854275,5.0426014e-11,2.1116002,0.9263692,6.127201,2.7451954,8.33276,-54.98,-2.91
