column_name,dtype,description,min_value,max_value,mean_value,null_count,sample_values,llm_provider
building,object,This column identifies the specific building or structure associated with the environmental measurement.,,,,0,Edifício I-1    Parte 1; Edifício I-1    Parte 2; I-3 Auditórios,gemini/gemini-2.5-flash
well,object,This column provides a unique identifier for the monitoring well where the environmental data was collected.,,,,0,PMG-16; PMG-17; PMG-18,gemini/gemini-2.5-flash
depth_level,object,"This column indicates the categorical depth stratum (e.g., A, B, C) within a well at which a measurement was taken.",,,,3416,A; B; C,gemini/gemini-2.5-flash
time,object,This column records the date when the environmental measurement was performed.,,,,0,2014-04-08; 2014-04-14; 2014-04-22,gemini/gemini-2.5-flash
ch4,float64,This column represents the concentration level of methane gas.,0.0,0.848,0.006670589912906127,9404,0.0; 0.152; 0.027,gemini/gemini-2.5-flash
ch4_peak,float64,This column represents the peak concentration level of methane gas observed.,0.0,0.848,0.007790228356667177,9572,0.0001; 0.168; 0.032,gemini/gemini-2.5-flash
co2,float64,This column represents the concentration level of carbon dioxide gas.,-0.0029999999999999,3.2,0.024383007360442282,9407,0.075; 0.08; 0.066,gemini/gemini-2.5-flash
o2,float64,This column represents the concentration level of oxygen gas.,-0.013,0.799,0.1806534619688028,9408,0.141; 0.137; 0.143,gemini/gemini-2.5-flash
h2s,float64,This column represents the concentration level of hydrogen sulfide gas.,0.0,12.0,0.2711652863552099,9407,0.0; 1.0; 2.0,gemini/gemini-2.5-flash
co,float64,This column represents the concentration level of carbon monoxide gas.,0.0,78.8,0.06159297083246493,9407,0.0; 1.0; 2.0,gemini/gemini-2.5-flash
bal,float64,"This column represents a balance measurement, with values typically near 1.0 but ranging from slightly negative to 97.6.",-0.0003,97.6,0.9900802350760184,9408,0.784; 0.7829999999999999; 0.7909999999999999,gemini/gemini-2.5-flash
well pressure,float64,"This column records the measured pressure within a well, with values ranging from -89.92 to 55.14.",-89.92,55.14,0.023838873055772022,9467,-0.08; 0.01; 0.08,gemini/gemini-2.5-flash
field_notes,object,This column contains textual or coded observations and notes recorded during fieldwork.,,,,96400,A; E; 0.22,gemini/gemini-2.5-flash
voc,float64,"This column measures the concentration level of Volatile Organic Compounds, with typical values near zero but occasionally reaching up to 72.0.",-2.0,72.0,0.004290018417018647,9893,0.0; 0.1; 0.3,gemini/gemini-2.5-flash
lel,float64,"This column indicates the percentage of the Lower Explosive Limit, with values ranging from 0.0 to 1.0.",0.0,1.0,0.03734060553382588,24637,0.0; 1.0; 0.36,gemini/gemini-2.5-flash
comments,object,"This column provides general textual comments or contextual remarks, potentially in Portuguese.",,,,94546,Limpeza; Sala Trancada; Sala em Reunião,gemini/gemini-2.5-flash
