column_name,dtype,description,min_value,max_value,mean_value,null_count,sample_values,llm_provider
building,object,"This column categorizes the locations of measurements, including various parts of buildings such as ""Edifício I-1 Parte 1"" and ""I-3 Auditórios.""",,,,0,Edifício I-1    Parte 1; Edifício I-1    Parte 2; I-3 Auditórios,openai/gpt-4o-mini
well,object,"This column identifies the specific wells from which environmental samples were collected, such as ""PMG-16"" and ""PMG-17.""",,,,0,PMG-16; PMG-17; PMG-18,openai/gpt-4o-mini
depth_level,object,"This column indicates the sampling depth levels, categorized as A, B, and C.",,,,3416,A; B; C,openai/gpt-4o-mini
time,object,"This column records the dates of the measurements, with entries like ""2014-04-08"" and ""2014-04-14.""",,,,0,2014-04-08; 2014-04-14; 2014-04-22,openai/gpt-4o-mini
ch4,float64,"This column represents the concentration of methane (CH4) in the samples, measured in parts per million (ppm), with a mean value of approximately 0.0067 ppm.",0.0,0.848,0.006670589912906127,9404,0.0; 0.152; 0.027,openai/gpt-4o-mini
ch4_peak,float64,"This column indicates the peak concentration of methane (CH4) in the samples, also measured in parts per million (ppm), with a mean value of approximately 0.0078 ppm.",0.0,0.848,0.007790228356667177,9572,0.0001; 0.168; 0.032,openai/gpt-4o-mini
co2,float64,"This column shows the concentration of carbon dioxide (CO2) in the samples, measured in parts per million (ppm), with a mean value of approximately 0.0244 ppm.",-0.0029999999999999,3.2,0.024383007360442282,9407,0.075; 0.08; 0.066,openai/gpt-4o-mini
o2,float64,"This column reflects the concentration of oxygen (O2) in the samples, measured in parts per million (ppm), with a mean value of approximately 0.1807 ppm.",-0.013,0.799,0.1806534619688028,9408,0.141; 0.137; 0.143,openai/gpt-4o-mini
h2s,float64,"This column indicates the concentration of hydrogen sulfide (H2S) in the samples, measured in parts per million (ppm), with a mean value of approximately 0.2712 ppm.",0.0,12.0,0.2711652863552099,9407,0.0; 1.0; 2.0,openai/gpt-4o-mini
co,float64,"This column represents the concentration of carbon monoxide (CO) in the samples, measured in parts per million (ppm), with a mean value of approximately 0.0616 ppm.",0.0,78.8,0.06159297083246493,9407,0.0; 1.0; 2.0,openai/gpt-4o-mini
bal,float64,"This column represents a balance measurement with values ranging from -0.0003 to 97.6, averaging approximately 0.99.",-0.0003,97.6,0.9900802350760184,9408,0.784; 0.7829999999999999; 0.7909999999999999,openai/gpt-4o-mini
well pressure,float64,"This column indicates well pressure in units of pressure (likely psi), with values between -89.92 and 55.14, and a mean of about 0.02.",-89.92,55.14,0.023838873055772022,9467,-0.08; 0.01; 0.08,openai/gpt-4o-mini
field_notes,object,"This column contains qualitative field notes, with sample entries including letters and numeric values, but lacks numerical summary statistics.",,,,96400,A; E; 0.22,openai/gpt-4o-mini
voc,float64,"This column measures volatile organic compounds (VOCs) in unspecified units, with a range from -2.0 to 72.0 and a mean of approximately 0.004.",-2.0,72.0,0.004290018417018647,9893,0.0; 0.1; 0.3,openai/gpt-4o-mini
lel,float64,"This column represents the lower explosive limit (LEL) with values from 0.0 to 1.0, averaging around 0.037.",0.0,1.0,0.03734060553382588,24637,0.0; 1.0; 0.36,openai/gpt-4o-mini
comments,object,"This column includes qualitative comments with sample entries related to site conditions, but does not provide numerical summary statistics.",,,,94546,Limpeza; Sala Trancada; Sala em Reunião,openai/gpt-4o-mini
