column_name,dtype,description,min_value,max_value,mean_value,null_count,sample_values,llm_provider
building,object,sample values: Edifício I-1    Parte 1; Edifício I-1    Parte 2; I-3 Auditórios,,,,0,Edifício I-1    Parte 1; Edifício I-1    Parte 2; I-3 Auditórios,gemini/gemini-2.5-flash
well,object,sample values: PMG-16; PMG-17; PMG-18,,,,0,PMG-16; PMG-17; PMG-18,gemini/gemini-2.5-flash
depth_level,object,sample values: A; B; C,,,,3416,A; B; C,gemini/gemini-2.5-flash
time,object,sample values: 2014-04-08; 2014-04-14; 2014-04-22,,,,0,2014-04-08; 2014-04-14; 2014-04-22,gemini/gemini-2.5-flash
ch4,float64,sample values: 0.0; 0.152; 0.027; range 0.0 to 0.848,0.0,0.848,0.006670589912906127,9404,0.0; 0.152; 0.027,gemini/gemini-2.5-flash
ch4_peak,float64,sample values: 0.0001; 0.168; 0.032; range 0.0 to 0.848,0.0,0.848,0.007790228356667177,9572,0.0001; 0.168; 0.032,gemini/gemini-2.5-flash
co2,float64,sample values: 0.075; 0.08; 0.066; range -0.0029999999999999 to 3.2,-0.0029999999999999,3.2,0.024383007360442282,9407,0.075; 0.08; 0.066,gemini/gemini-2.5-flash
o2,float64,sample values: 0.141; 0.137; 0.143; range -0.013 to 0.799,-0.013,0.799,0.1806534619688028,9408,0.141; 0.137; 0.143,gemini/gemini-2.5-flash
h2s,float64,sample values: 0.0; 1.0; 2.0; range 0.0 to 12.0,0.0,12.0,0.2711652863552099,9407,0.0; 1.0; 2.0,gemini/gemini-2.5-flash
co,float64,sample values: 0.0; 1.0; 2.0; range 0.0 to 78.8,0.0,78.8,0.06159297083246493,9407,0.0; 1.0; 2.0,gemini/gemini-2.5-flash
bal,float64,sample values: 0.784; 0.7829999999999999; 0.7909999999999999; range -0.0003 to 97.6,-0.0003,97.6,0.9900802350760184,9408,0.784; 0.7829999999999999; 0.7909999999999999,gemini/gemini-2.5-flash
well pressure,float64,sample values: -0.08; 0.01; 0.08; range -89.92 to 55.14,-89.92,55.14,0.023838873055772022,9467,-0.08; 0.01; 0.08,gemini/gemini-2.5-flash
field_notes,object,sample values: A; E; 0.22,,,,96400,A; E; 0.22,gemini/gemini-2.5-flash
voc,float64,sample values: 0.0; 0.1; 0.3; range -2.0 to 72.0,-2.0,72.0,0.004290018417018647,9893,0.0; 0.1; 0.3,gemini/gemini-2.5-flash
lel,float64,sample values: 0.0; 1.0; 0.36; range 0.0 to 1.0,0.0,1.0,0.03734060553382588,24637,0.0; 1.0; 0.36,gemini/gemini-2.5-flash
comments,object,sample values: Limpeza; Sala Trancada; Sala em Reunião,,,,94546,Limpeza; Sala Trancada; Sala em Reunião,gemini/gemini-2.5-flash
