building,well,depth_level,time,ch4,ch4_peak,co2,o2,h2s,co,bal,well pressure,field_notes,voc,lel,comments
Edifício I-1    Parte 1,PMG-16,A,2014-04-08,0.0,,0.075,0.141,0.0,0.0,0.784,-0.08,,0.0,,
Edifício I-1    Parte 1,PMG-16,B,2014-04-08,0.0,,0.08,0.137,0.0,0.0,0.7829999999999999,0.01,,0.0,,
Edifício I-1    Parte 1,PMG-17,A,2014-04-08,0.0,,0.066,0.143,0.0,0.0,0.7909999999999999,0.08,,0.0,,
Edifício I-1    Parte 1,PMG-17,B,2014-04-08,0.0,,0.07,0.138,0.0,0.0,0.792,0.13,,0.0,,
Edifício I-1    Parte 1,PMG-18,A,2014-04-08,,,,,,,,,,0.0,,
Edifício I-1    Parte 1,PMG-18,B,2014-04-08,,,,,,,,,,0.0,,
Edifício I-1    Parte 1,PMG-20,A,2014-04-08,0.0,,0.004,0.213,0.0,0.0,0.7829999999999999,0.02,,0.0,,
Edifício I-1    Parte 1,PMG-20,B,2014-04-08,0.0,,0.012,0.201,0.0,0.0,0.787,0.03,,0.0,,
Edifício I-1    Parte 1,PMG-22,A,2014-04-08,0.0,,0.003,0.214,0.0,0.0,0.785,0.02,,0.0,,
Edifício I-1    Parte 1,PMG-22,B,2014-04-08,0.0,,0.071,0.141,0.0,0.0,0.7879999999999999,-0.04,,0.0,,
Edifício I-1    Parte 1,PMG-23,A,2014-04-08,0.0,,0.013,0.198,0.0,0.0,0.789,0.0,,0.0,,
Edifício I-1    Parte 1,PMG-23,B,2014-04-08,0.0,,0.038,0.174,0.0,0.0,0.7879999999999999,0.08,,0.0,,
Edifício I-1    Parte 1,PMG-113,A,2014-04-08,0.0,,0.003,0.214,0.0,0.0,0.7829999999999999,-0.03,,0.0,,
Edifício I-1    Parte 1,PMG-113,B,2014-04-08,0.0,,0.04,0.168,0.0,0.0,0.7929999999999999,-0.12,,0.0,,
Edifício I-1    Parte 1,PMG-114,A,2014-04-08,0.0,,0.001,0.217,0.0,0.0,0.782,-0.03,,0.0,,
Edifício I-1    Parte 1,PMG-114,B,2014-04-08,0.0,0.0001,0.001,0.218,0.0,0.0,0.7809999999999999,-0.08,,0.0,,
Edifício I-1    Parte 1,PMG-115,A,2014-04-08,0.0,,0.001,0.217,0.0,0.0,0.782,0.0,,0.0,,
Edifício I-1    Parte 1,PMG-115,B,2014-04-08,0.0,,0.045,0.174,0.0,0.0,0.7809999999999999,0.04,,0.0,,
Edifício I-1    Parte 2,PMG-14,A,2014-04-08,0.0,,0.097,0.1,0.0,0.0,0.8029999999999999,-0.14,,0.0,,
Edifício I-1    Parte 2,PMG-14,B,2014-04-08,0.0,,0.156,0.032,0.0,0.0,0.812,-0.09,,0.0,,
Edifício I-1    Parte 2,PMG-21,A,2014-04-08,0.0,,0.051,0.154,0.0,0.0,0.795,-0.19,,0.0,,
Edifício I-1    Parte 2,PMG-21,B,2014-04-08,0.0,,0.087,0.12,0.0,0.0,0.7929999999999999,0.01,,0.0,,
Edifício I-1    Parte 2,PMG-15,A,2014-04-08,0.0,,0.001,0.215,0.0,0.0,0.784,0.0,,0.0,,
Edifício I-1    Parte 2,PMG-15,B,2014-04-08,0.0,,0.002,0.215,0.0,0.0,0.7829999999999999,0.16,,0.0,,
Edifício I-1    Parte 2,PMG-13,A,2014-04-08,0.0,,0.043,0.164,0.0,0.0,0.7929999999999999,0.0,,0.0,,
Edifício I-1    Parte 2,PMG-13,B,2014-04-08,0.0,,0.084,0.126,0.0,0.0,0.79,0.02,,0.0,,
Edifício I-1    Parte 2,PMG-19,A,2014-04-08,0.0,,0.021,0.195,0.0,0.0,0.784,0.0,,0.0,,
Edifício I-1    Parte 2,PMG-19,B,2014-04-08,0.0,,0.042,0.172,0.0,0.0,0.7859999999999999,0.02,,0.0,,
Edifício I-1    Parte 2,PMG-11,A,2014-04-08,0.0,,0.04,0.167,0.0,0.0,0.7929999999999999,-0.03,,0.1,,
Edifício I-1    Parte 2,PMG-11,B,2014-04-08,0.152,0.168,0.108,0.084,0.0,0.0,0.6559999999999999,-0.1,,0.3,,
Edifício I-1    Parte 2,PMG-12,A,2014-04-08,0.0,,0.126,0.074,0.0,0.0,0.8,-0.06,,0.0,,
Edifício I-1    Parte 2,PMG-12,B,2014-04-08,0.0,,0.138,0.057,0.0,0.0,0.805,0.03,,0.0,,
Edifício I-1    Parte 2,PMG-24,A,2014-04-08,0.0,,0.028,0.183,0.0,0.0,0.7909999999999999,0.0,,0.0,,
Edifício I-1    Parte 2,PMG-24,B,2014-04-08,0.0,,0.037,0.175,0.0,0.0,0.7879999999999999,0.0,,0.0,,
I-3 Auditórios,PMG-25,A,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-25,B,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-26,A,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-26,B,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-27,A,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-27,B,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-28,A,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-28,B,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-29,A,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-29,B,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-44,A,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-44,B,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-45,A,2014-04-08,,,,,,,,,,0.0,,
I-3 Auditórios,PMG-45,B,2014-04-08,,,,,,,,,,0.0,,
I-3 Biblioteca,PMG-30,A,2014-04-08,0.0,,0.004,0.206,0.0,0.0,0.79,-0.03,,0.0,,
I-3 Biblioteca,PMG-30,B,2014-04-08,0.0,,0.128,0.069,0.0,0.0,0.803,-0.04,,0.0,,
I-3 Biblioteca,PMG-31,A,2014-04-08,0.0,,0.007,0.208,0.0,0.0,0.785,0.03,,0.0,,
I-3 Biblioteca,PMG-31,B,2014-04-08,0.027,,0.12,0.075,0.0,0.0,0.778,-0.03,,0.0,,
I-3 Biblioteca,PMG-32,A,2014-04-08,0.0,,0.008,0.206,0.0,0.0,0.786,-0.05,,0.0,,
I-3 Biblioteca,PMG-32,B,2014-04-08,0.0,,0.096,0.109,0.0,0.0,0.795,0.03,,0.0,,
I-3 Biblioteca,PMG-33,A,2014-04-08,0.0,0.0001,0.006,0.205,0.0,0.0,0.789,-0.06,,0.0,,
I-3 Biblioteca,PMG-33,B,2014-04-08,0.0,,0.162,0.035,0.0,0.0,0.803,0.01,,0.0,,
I-3 Biblioteca,PMG-34,A,2014-04-08,0.0,,0.006,0.209,0.0,0.0,0.785,0.0,,0.0,,
I-3 Biblioteca,PMG-34,B,2014-04-08,0.0,,0.038,0.174,0.0,0.0,0.788,0.0,,0.0,,
I-3 Biblioteca,PMG-35,A,2014-04-08,0.0,0.032,0.002,0.213,0.0,0.0,0.785,0.15,,0.0,,
I-3 Biblioteca,PMG-35,B,2014-04-08,0.0,,0.029,0.188,0.0,0.0,0.783,-0.03,,0.0,,
I-3 Biblioteca,PMG-36,A,2014-04-08,0.0,,0.002,0.214,0.0,0.0,0.784,-0.09,,0.0,,
I-3 Biblioteca,PMG-36,B,2014-04-08,0.0,,0.116,0.081,0.0,0.0,0.803,-0.01,,0.0,,
I-3 Biblioteca,PMG-37,A,2014-04-08,0.0,,0.002,0.214,0.0,0.0,0.784,0.0,,0.0,,
I-3 Biblioteca,PMG-37,B,2014-04-08,0.0,,0.056,0.159,0.0,0.0,0.785,-0.08,,0.0,,
I-3 Biblioteca,PMG-38,A,2014-04-08,0.0,,0.007,0.205,0.0,0.0,0.788,-0.01,,0.0,,
I-3 Biblioteca,PMG-38,B,2014-04-08,0.0,,0.017,0.194,0.0,0.0,0.789,0.07,,0.0,,
